srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
Chhattisgarh,2015,18327841,6394,1.28,0.03,16,29,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2015,1073842,29538,0.07,0.13,25,25,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,28029118,923737,1.96,3.96,13,8,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,5491845,24720,0.38,0.11,22,26,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015,352067,5705,0.02,0.02,31,31,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,121591054,237854,8.49,1.02,3,16,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2016,1182504,31549,0.07,0.13,25,25,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016,74460250,1528700,4.61,6.19,8,5,2016,"Calendar Year (Jan - Dec), 2016"
Uttarakhand,2016,30505363,117106,1.89,0.47,13,20,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016,211707090,3156812,13.12,12.78,2,3,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016,370618,36780,0.02,0.15,32,24,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016,95160830,166570,5.9,0.67,7,18,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016,343812413,4721978,21.31,19.11,1,1,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016,747343,66012,0.05,0.27,28,22,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016,41495115,1513729,2.57,6.13,10,6,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016,38703326,659736,2.4,2.67,11,10,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,2016,1398289,117437,0.09,0.48,24,19,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016,12842766,76361,0.8,0.31,19,21,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016,58178,3260,0,0.01,35,32,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016,67238,942,0,0,34,35,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016,830887,8476,0.05,0.03,26,29,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016,150638,3064,0.01,0.01,33,33,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016,116515800,4670048,7.22,18.9,6,2,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016,150490339,363195,9.33,1.47,4,13,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,2016,8716,753,0,0,36,36,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016,13172536,1038419,0.82,4.2,18,7,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016,129762600,461752,8.04,1.87,5,11,2016,"Calendar Year (Jan - Dec), 2016"
Jammu & Kashmir,2016,9414579,63207,0.58,0.26,20,23,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016,33389286,169442,2.07,0.69,12,17,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016,17997750,452770,1.12,1.83,16,12,2016,"Calendar Year (Jan - Dec), 2016"
