srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Nagaland,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Day Visitors,2389,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Day Visitors,476,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Male,Foreign Overnight Visitors,34,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Female,Foreign Overnight Visitors,18,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Overnight Visitors,1018,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Overnight Visitors,126,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Day Visitors,2152,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Day Visitors,320,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Male,Foreign Same Day Visitors,3,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Female,Foreign Same Day Visitors,1,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Male,Foreign Overnight Visitors,44,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Female,Foreign Overnight Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Overnight Visitors,1660,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Overnight Visitors,262,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Day Visitors,3344,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Day Visitors,620,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Male,Foreign Overnight Visitors,34,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Female,Foreign Overnight Visitors,2,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Overnight Visitors,398,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Overnight Visitors,48,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Day Visitors,797,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Day Visitors,206,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Male,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
